"","boxscore_links"
"360","https://www.basketball-reference.com/boxscores/201611100SAC.html"
"361","https://www.basketball-reference.com/teams/TOR/2017.html"
"362","https://www.basketball-reference.com/teams/CHO/2017.html"
"363","https://www.basketball-reference.com/boxscores/201611110CHO.html"
"364","https://www.basketball-reference.com/teams/UTA/2017.html"
"365","https://www.basketball-reference.com/teams/ORL/2017.html"
"366","https://www.basketball-reference.com/boxscores/201611110ORL.html"
"367","https://www.basketball-reference.com/teams/IND/2017.html"
"368","https://www.basketball-reference.com/teams/PHI/2017.html"
"369","https://www.basketball-reference.com/boxscores/201611110PHI.html"
"370","https://www.basketball-reference.com/teams/CLE/2017.html"
"371","https://www.basketball-reference.com/teams/WAS/2017.html"
"372","https://www.basketball-reference.com/boxscores/201611110WAS.html"
"373","https://www.basketball-reference.com/teams/NYK/2017.html"
"374","https://www.basketball-reference.com/teams/BOS/2017.html"
"375","https://www.basketball-reference.com/boxscores/201611110BOS.html"
"376","https://www.basketball-reference.com/teams/LAC/2017.html"
"377","https://www.basketball-reference.com/teams/OKC/2017.html"
"378","https://www.basketball-reference.com/boxscores/201611110OKC.html"
"379","https://www.basketball-reference.com/teams/DET/2017.html"
"380","https://www.basketball-reference.com/teams/SAS/2017.html"
"381","https://www.basketball-reference.com/boxscores/201611110SAS.html"
"382","https://www.basketball-reference.com/teams/SAC/2017.html"
"383","https://www.basketball-reference.com/teams/POR/2017.html"
"384","https://www.basketball-reference.com/boxscores/201611110POR.html"
"385","https://www.basketball-reference.com/teams/BOS/2017.html"
"386","https://www.basketball-reference.com/teams/IND/2017.html"
"387","https://www.basketball-reference.com/boxscores/201611120IND.html"
"388","https://www.basketball-reference.com/teams/LAL/2017.html"
"389","https://www.basketball-reference.com/teams/NOP/2017.html"
"390","https://www.basketball-reference.com/boxscores/201611120NOP.html"
"391","https://www.basketball-reference.com/teams/PHI/2017.html"
"392","https://www.basketball-reference.com/teams/ATL/2017.html"
"393","https://www.basketball-reference.com/boxscores/201611120ATL.html"
"394","https://www.basketball-reference.com/teams/NYK/2017.html"
"395","https://www.basketball-reference.com/teams/TOR/2017.html"
"396","https://www.basketball-reference.com/boxscores/201611120TOR.html"
"397","https://www.basketball-reference.com/teams/WAS/2017.html"
"398","https://www.basketball-reference.com/teams/CHI/2017.html"
"399","https://www.basketball-reference.com/boxscores/201611120CHI.html"
"400","https://www.basketball-reference.com/teams/SAS/2017.html"
