"","mp","fg","fga","fg_pct","fg3","fg3a","fg3_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","plus_minus"
"totals_home167","240","36","76",".474","9","20",".450","24","31",".774","10","36","46","21","5","3","16","17","105",""
"totals_home168","240","44","81",".543","15","25",".600","16","18",".889","7","30","37","26","7","2","15","21","119",""
"totals_home169","240","39","97",".402","7","30",".233","11","21",".524","17","42","59","19","5","8","7","18","96",""
"totals_home170","240","46","95",".484","14","32",".438","20","25",".800","17","37","54","26","6","6","13","17","126",""
"totals_home171","240","43","84",".512","6","25",".240","18","20",".900","14","34","48","18","7","8","13","19","110",""
"totals_home172","240","30","78",".385","5","25",".200","12","14",".857","10","38","48","11","4","3","13","14","77",""
"totals_home173","240","37","90",".411","10","29",".345","16","24",".667","8","36","44","25","11","4","11","16","100",""
"totals_home174","240","36","76",".474","1","7",".143","23","29",".793","10","25","35","18","5","8","18","19","96",""
"totals_home175","240","40","83",".482","11","25",".440","13","14",".929","5","47","52","26","4","8","13","14","104",""
"totals_home176","240","31","83",".373","11","32",".344","15","19",".789","7","36","43","19","6","3","13","12","88",""
"totals_home177","240","45","82",".549","9","24",".375","14","20",".700","1","36","37","31","9","12","8","21","113",""
"totals_home178","240","49","89",".551","7","26",".269","19","24",".792","10","36","46","23","9","5","16","24","124",""
"totals_home179","240","21","73",".288","5","25",".200","17","22",".773","10","35","45","9","3","7","17","14","64",""
"totals_home180","265","39","83",".470","4","25",".160","29","39",".744","9","50","59","29","7","4","19","26","111",""
"totals_home181","240","39","87",".448","12","25",".480","17","21",".810","15","30","45","24","6","1","13","21","107",""
"totals_home182","240","38","86",".442","10","26",".385","29","35",".829","9","28","37","21","7","4","14","24","115",""
"totals_home183","240","42","94",".447","12","32",".375","15","20",".750","10","29","39","28","8","3","4","16","111",""
"totals_home184","240","37","86",".430","7","20",".350","11","16",".688","11","39","50","22","5","4","5","13","92",""
"totals_home185","265","43","98",".439","14","36",".389","21","25",".840","10","43","53","27","9","6","11","23","121",""
"totals_home186","240","34","78",".436","8","21",".381","19","22",".864","10","40","50","17","6","8","19","21","95",""
"totals_home187","240","42","89",".472","11","27",".407","16","22",".727","13","27","40","22","9","2","11","22","111",""
"totals_home188","240","45","86",".523","17","35",".486","13","20",".650","6","38","44","33","11","9","18","23","120",""
"totals_home189","240","29","76",".382","2","18",".111","33","38",".868","13","33","46","15","8","7","9","19","93",""
"totals_home190","240","46","89",".517","10","20",".500","19","25",".760","10","31","41","27","7","1","13","23","121",""
"totals_home191","240","36","77",".468","11","27",".407","19","23",".826","11","27","38","20","6","2","13","20","102",""
"totals_home192","240","42","88",".477","10","27",".370","10","14",".714","11","39","50","21","8","1","15","23","104",""
"totals_home193","240","37","93",".398","10","35",".286","25","31",".806","11","25","36","22","5","3","9","20","109",""
"totals_home194","265","44","101",".436","10","36",".278","13","18",".722","15","34","49","28","10","7","20","23","111",""
"totals_home195","240","42","86",".488","8","22",".364","13","30",".433","12","37","49","31","4","3","8","19","105",""
"totals_home196","240","36","81",".444","11","27",".407","19","25",".760","4","33","37","26","8","8","13","18","102",""
"totals_home197","240","41","93",".441","13","31",".419","15","21",".714","10","27","37","26","11","3","10","19","110",""
"totals_home198","240","30","73",".411","9","31",".290","21","33",".636","8","31","39","20","6","9","10","13","90",""
"totals_home199","240","33","103",".320","6","23",".261","11","12",".917","15","34","49","13","5","4","11","23","83",""
"totals_home200","240","37","78",".474","11","26",".423","16","20",".800","7","33","40","21","8","5","14","25","101",""
"totals_home201","240","37","91",".407","10","28",".357","22","34",".647","14","31","45","25","8","4","11","19","106",""
"totals_home202","240","36","87",".414","7","17",".412","17","24",".708","12","27","39","19","7","3","14","20","96",""
"totals_home203","240","35","86",".407","8","29",".276","15","21",".714","7","30","37","25","16","9","13","22","93",""
"totals_home204","240","36","86",".419","4","24",".167","17","25",".680","16","35","51","23","5","4","15","19","93",""
"totals_home205","240","35","75",".467","8","20",".400","18","25",".720","8","31","39","24","9","1","13","18","96",""
"totals_home206","240","39","74",".527","10","25",".400","35","42",".833","6","36","42","23","5","4","14","24","123",""
"totals_home207","240","39","85",".459","10","29",".345","6","10",".600","6","34","40","22","5","6","15","15","94",""
"totals_home208","240","45","96",".469","9","29",".310","8","8","1.000","10","33","43","26","8","5","13","23","107",""
"totals_home209","240","43","100",".430","10","22",".455","14","17",".824","17","38","55","26","5","6","10","14","110",""
"totals_home210","240","42","83",".506","14","27",".519","13","16",".813","6","29","35","25","8","7","17","17","111",""
"totals_home211","240","45","89",".506","11","20",".550","13","18",".722","12","32","44","30","3","3","15","16","114",""
"totals_home212","240","48","90",".533","21","36",".583","20","27",".741","9","32","41","30","6","3","10","15","137",""
"totals_home213","240","34","84",".405","7","27",".259","10","14",".714","7","30","37","16","15","5","18","20","85",""
"totals_home214","240","33","91",".363","7","25",".280","14","23",".609","11","33","44","17","9","8","11","19","87",""
"totals_home215","290","35","93",".376","12","36",".333","17","23",".739","8","48","56","24","9","10","26","32","99",""
"totals_home216","240","34","86",".395","10","31",".323","14","22",".636","9","36","45","18","7","7","19","12","92",""
"totals_home217","240","40","81",".494","6","19",".316","21","25",".840","10","39","49","22","8","7","13","19","107",""
"totals_home218","240","38","78",".487","14","42",".333","12","12","1.000","11","28","39","29","6","7","26","22","102",""
"totals_home219","240","38","84",".452","11","24",".458","17","18",".944","10","34","44","23","7","3","16","24","104",""
"totals_home220","240","39","79",".494","8","26",".308","22","31",".710","4","47","51","19","4","3","14","25","108",""
"totals_home221","240","45","83",".542","9","24",".375","18","23",".783","4","41","45","27","10","6","17","21","117",""
"totals_home222","240","53","86",".616","19","36",".528","24","35",".686","6","42","48","47","7","5","10","20","149",""
"totals_home223","240","44","94",".468","12","28",".429","16","17",".941","11","35","46","26","4","1","11","23","116",""
"totals_home224","240","42","91",".462","12","34",".353","7","9",".778","8","28","36","32","8","4","10","21","103",""
"totals_home225","240","35","80",".438","7","23",".304","14","20",".700","14","35","49","18","5","7","19","16","91",""
"totals_home226","240","43","85",".506","20","43",".465","22","24",".917","9","38","47","30","9","3","14","16","128",""
"totals_home227","240","47","90",".522","9","19",".474","5","7",".714","9","33","42","26","7","0","10","22","108",""
"totals_home228","265","45","97",".464","11","28",".393","12","13",".923","13","42","55","26","9","8","16","21","113",""
"totals_home229","240","31","78",".397","9","22",".409","18","22",".818","8","40","48","18","7","8","19","21","89",""
"totals_home230","240","48","87",".552","11","26",".423","11","16",".688","9","38","47","25","11","5","14","19","118",""
"totals_home231","240","29","82",".354","4","19",".211","19","23",".826","16","35","51","14","3","14","17","16","81",""
"totals_home232","240","40","79",".506","12","29",".414","7","12",".583","7","31","38","26","4","2","11","19","99",""
"totals_home233","240","35","80",".438","10","34",".294","15","18",".833","9","46","55","17","9","9","16","16","95",""
"totals_home234","265","48","101",".475","12","34",".353","21","27",".778","13","39","52","34","9","7","16","21","129",""
"totals_home235","240","32","79",".405","6","26",".231","15","21",".714","12","36","48","17","11","6","25","26","85",""
"totals_home236","240","47","100",".470","12","32",".375","13","17",".765","12","40","52","30","7","5","11","20","119",""
"totals_home237","240","32","90",".356","5","22",".227","16","23",".696","14","31","45","20","12","3","18","16","85",""
"totals_home238","240","39","80",".488","9","32",".281","17","21",".810","4","33","37","24","7","6","14","18","104",""
"totals_home239","240","35","80",".438","8","22",".364","29","42",".690","10","42","52","16","3","9","10","14","107",""
"totals_home240","240","42","88",".477","6","22",".273","10","14",".714","12","28","40","21","11","1","12","26","100",""
"totals_home241","240","40","81",".494","11","31",".355","16","24",".667","8","31","39","18","3","6","9","21","107",""
"totals_home242","240","42","83",".506","8","23",".348","14","26",".538","10","33","43","23","4","3","10","16","106",""
"totals_home243","240","45","81",".556","11","22",".500","14","17",".824","12","33","45","25","9","8","18","14","115",""
"totals_home244","240","43","92",".467","15","34",".441","7","10",".700","13","37","50","29","5","5","16","24","108",""
"totals_home245","240","36","89",".404","11","25",".440","31","36",".861","9","37","46","11","5","7","11","24","114",""
"totals_home246","240","38","87",".437","16","40",".400","13","14",".929","9","33","42","19","7","1","15","21","105",""
"totals_home247","240","40","92",".435","5","19",".263","6","7",".857","13","39","52","26","8","4","13","21","91",""
"totals_home248","240","38","92",".413","7","28",".250","13","17",".765","10","36","46","24","6","5","7","17","96",""
"totals_home249","240","32","77",".416","10","27",".370","17","20",".850","11","35","46","19","7","3","12","18","91",""
"totals_home250","240","40","83",".482","12","33",".364","22","29",".759","8","27","35","24","7","2","14","24","114",""
"totals_home251","240","42","95",".442","8","20",".400","17","20",".850","15","38","53","20","7","2","9","15","109",""
"totals_home252","265","35","85",".412","10","25",".400","21","26",".808","11","38","49","22","11","7","23","23","101",""
"totals_home253","240","38","80",".475","6","30",".200","22","32",".688","7","34","41","24","6","2","13","25","104",""
"totals_home254","240","36","91",".396","6","19",".316","25","28",".893","12","28","40","20","9","11","5","16","103",""
"totals_home255","240","42","77",".545","13","19",".684","25","31",".806","8","34","42","22","11","8","12","14","122",""
"totals_home256","240","36","89",".404","7","29",".241","6","13",".462","8","34","42","21","10","4","12","25","85",""
"totals_home257","240","36","81",".444","7","19",".368","24","25",".960","10","29","39","26","8","2","14","23","103",""
"totals_home258","240","37","85",".435","12","35",".343","19","24",".792","7","34","41","25","6","10","14","20","105",""
"totals_home259","240","31","78",".397","9","27",".333","18","21",".857","5","35","40","21","7","5","13","16","89",""
"totals_home260","290","45","104",".433","13","38",".342","24","36",".667","8","46","54","22","9","3","13","23","127",""
"totals_home261","240","46","86",".535","7","19",".368","19","23",".826","10","33","43","27","15","6","17","22","118",""
"totals_home262","240","38","88",".432","8","31",".258","21","25",".840","13","41","54","24","10","3","8","17","105",""
"totals_home263","240","28","76",".368","5","20",".250","22","26",".846","10","35","45","19","9","4","18","17","83",""
"totals_home264","240","41","74",".554","15","28",".536","23","27",".852","5","35","40","23","4","5","8","20","120",""
"totals_home265","240","40","91",".440","15","42",".357","19","20",".950","9","24","33","26","6","3","5","17","114",""
"totals_home266","240","38","69",".551","16","32",".500","28","33",".848","10","33","43","23","7","4","18","25","120",""
"totals_home267","240","32","91",".352","4","21",".190","22","29",".759","14","32","46","22","15","11","14","26","90",""
"totals_home268","240","34","77",".442","4","19",".211","32","39",".821","11","29","40","17","9","5","15","17","104",""
"totals_home269","265","46","95",".484","12","30",".400","22","31",".710","9","38","47","28","10","4","13","22","126",""
"totals_home270","240","33","77",".429","10","30",".333","11","14",".786","8","29","37","16","5","3","11","18","87",""
"totals_home271","240","38","91",".418","7","22",".318","15","24",".625","14","41","55","28","3","7","19","21","98",""
"totals_home272","240","40","89",".449","10","21",".476","19","25",".760","13","28","41","15","11","4","15","17","109",""
