"","mp","fg","fga","fg_pct","fg3","fg3a","fg3_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","plus_minus"
"totals_away63","240","34","84",".405","5","20",".250","12","20",".600","10","42","52","14","8","4","21","24","85",""
"totals_away64","240","38","80",".475","7","18",".389","11","17",".647","11","28","39","17","8","1","14","23","94",""
"totals_away65","240","46","96",".479","11","32",".344","19","22",".864","10","29","39","25","4","6","8","28","122",""
"totals_away66","240","38","81",".469","10","23",".435","21","27",".778","10","22","32","29","14","4","21","23","107",""
"totals_away67","240","39","81",".481","6","22",".273","18","25",".720","7","37","44","24","10","2","20","24","102",""
"totals_away68","240","35","87",".402","10","27",".370","16","28",".571","13","28","41","20","8","6","16","20","96",""
"totals_away69","240","32","83",".386","5","25",".200","23","36",".639","10","37","47","22","12","3","18","24","92",""
"totals_away70","240","36","86",".419","10","30",".333","17","24",".708","7","42","49","24","7","3","16","18","99",""
"totals_away71","240","34","88",".386","9","28",".321","10","15",".667","12","31","43","19","10","5","13","22","87",""
"totals_away72","240","46","89",".517","9","21",".429","16","21",".762","11","29","40","32","7","2","5","23","117",""
"totals_away73","240","32","85",".376","8","27",".296","27","33",".818","11","36","47","19","17","6","11","23","99",""
"totals_away74","265","40","93",".430","8","24",".333","24","28",".857","12","47","59","18","7","2","15","27","112",""
"totals_away75","240","36","80",".450","12","31",".387","21","26",".808","7","35","42","21","9","3","14","20","105",""
"totals_away76","240","37","83",".446","6","20",".300","20","22",".909","9","40","49","17","9","8","11","25","100",""
"totals_away77","240","39","86",".453","5","32",".156","14","20",".700","9","31","40","26","13","3","20","13","97",""
"totals_away78","240","33","84",".393","4","19",".211","22","29",".759","17","24","41","12","7","8","17","19","92",""
"totals_away79","240","31","94",".330","7","25",".280","17","20",".850","16","32","48","15","8","2","16","15","86",""
"totals_away80","240","34","79",".430","6","18",".333","20","25",".800","13","27","40","17","8","5","16","13","94",""
"totals_away81","240","34","86",".395","6","17",".353","12","17",".706","14","35","49","11","4","5","10","23","86",""
"totals_away82","240","37","91",".407","14","38",".368","14","18",".778","11","38","49","23","10","5","16","15","102",""
"totals_away83","240","37","85",".435","12","36",".333","11","13",".846","12","31","43","22","9","7","26","26","97",""
"totals_away84","240","33","84",".393","10","28",".357","15","19",".789","13","23","36","27","8","3","14","19","91",""
"totals_away85","240","47","91",".516","9","23",".391","13","14",".929","7","34","41","24","8","6","8","19","116",""
"totals_away86","240","38","75",".507","8","25",".320","30","35",".857","7","27","34","21","6","4","10","19","114",""
"totals_away87","240","32","71",".451","14","33",".424","22","27",".815","5","32","37","19","7","5","15","25","100",""
"totals_away88","240","34","78",".436","5","16",".313","23","31",".742","13","34","47","21","4","5","9","22","96",""
"totals_away89","265","30","82",".366","6","29",".207","9","12",".750","9","42","51","14","11","2","27","26","75",""
"totals_away90","240","44","84",".524","11","23",".478","24","31",".774","9","38","47","21","7","6","17","23","123",""
"totals_away91","240","40","91",".440","6","20",".300","22","28",".786","11","29","40","20","8","2","17","30","108",""
"totals_away92","240","40","94",".426","9","33",".273","11","15",".733","12","40","52","23","8","4","18","25","100",""
"totals_away93","240","43","85",".506","11","19",".579","12","20",".600","10","35","45","20","10","11","10","22","109",""
"totals_away94","240","41","79",".519","17","37",".459","15","18",".833","6","31","37","28","6","7","18","18","114",""
"totals_away95","240","33","85",".388","9","30",".300","5","6",".833","6","33","39","28","6","6","14","23","80",""
"totals_away96","240","31","84",".369","4","17",".235","19","22",".864","12","29","41","12","8","7","12","16","85",""
"totals_away97","240","39","80",".488","7","21",".333","21","27",".778","11","32","43","26","8","1","19","16","106",""
"totals_away98","240","30","82",".366","4","12",".333","18","26",".692","11","28","39","14","5","2","11","19","82",""
"totals_away99","240","41","81",".506","11","29",".379","17","24",".708","11","39","50","22","1","4","19","21","110",""
"totals_away100","240","39","92",".424","12","28",".429","20","28",".714","15","26","41","20","11","3","16","21","110",""
"totals_away101","240","35","70",".500","10","24",".417","27","34",".794","6","33","39","24","6","4","22","23","107",""
"totals_away102","240","43","86",".500","7","21",".333","28","33",".848","15","26","41","18","10","2","16","27","121",""
"totals_away103","240","43","82",".524","10","23",".435","13","15",".867","8","29","37","24","11","4","11","12","109",""
"totals_away104","240","38","84",".452","5","21",".238","13","18",".722","7","33","40","23","5","9","10","23","94",""
"totals_away105","240","38","82",".463","8","34",".235","14","18",".778","10","36","46","24","5","6","12","22","98",""
"totals_away106","265","46","95",".484","14","36",".389","9","19",".474","10","33","43","23","11","6","17","21","115",""
"totals_away107","240","33","79",".418","11","33",".333","19","27",".704","7","33","40","19","9","4","18","20","96",""
"totals_away108","240","45","87",".517","13","23",".565","20","26",".769","10","35","45","27","8","5","6","23","123",""
"totals_away109","240","35","81",".432","10","31",".323","13","22",".591","7","24","31","21","5","4","11","19","93",""
"totals_away110","240","41","91",".451","9","27",".333","16","21",".762","8","23","31","24","14","3","13","21","107",""
"totals_away111","240","43","83",".518","11","26",".423","15","22",".682","7","28","35","25","10","6","11","24","112",""
"totals_away112","240","32","89",".360","9","22",".409","27","32",".844","9","32","41","20","11","5","11","24","100",""
"totals_away113","240","37","78",".474","10","30",".333","17","22",".773","8","37","45","25","7","4","19","24","101",""
"totals_away114","240","34","86",".395","6","28",".214","21","28",".750","13","29","42","20","10","2","7","20","95",""
"totals_away115","240","31","88",".352","6","30",".200","12","14",".857","11","36","47","16","4","3","14","23","80",""
"totals_away116","240","37","89",".416","6","16",".375","18","20",".900","12","36","48","18","7","2","10","12","98",""
"totals_away117","240","39","89",".438","9","25",".360","25","27",".926","11","36","47","22","9","7","10","19","112",""
