"","date","away_team","points_away","home_team","points_home","attendance","home_win","point_difference","abs_point_dif","season","win_percentage"
"137",2016-11-12,"Memphis Grizzlies",96,"Milwaukee Bucks",106,14327,1,10,10,"2016-17",54.5454545454545
"138",2016-11-12,"Detroit Pistons",106,"Denver Nuggets",95,13997,0,-11,11,"2016-17",53.6585365853659
"139",2016-11-12,"Brooklyn Nets",122,"Phoenix Suns",104,17126,0,-18,18,"2016-17",36.5853658536585
"140",2016-11-13,"Charlotte Hornets",93,"Cleveland Cavaliers",100,20562,1,7,7,"2016-17",75.5102040816327
"141",2016-11-13,"Los Angeles Lakers",99,"Minnesota Timberwolves",125,14432,1,26,26,"2016-17",48.780487804878
"142",2016-11-13,"Orlando Magic",119,"Oklahoma City Thunder",117,18203,0,-2,2,"2016-17",67.4418604651163
"143",2016-11-13,"Phoenix Suns",120,"Golden State Warriors",133,19596,1,13,13,"2016-17",90
"144",2016-11-13,"Denver Nuggets",105,"Portland Trail Blazers",112,19362,1,7,7,"2016-17",58.1395348837209
"145",2016-11-14,"Orlando Magic",69,"Indiana Pacers",88,14825,1,19,19,"2016-17",67.4418604651163
"146",2016-11-14,"Oklahoma City Thunder",88,"Detroit Pistons",104,14172,1,16,16,"2016-17",58.5365853658537
"147",2016-11-14,"Dallas Mavericks",77,"New York Knicks",93,19812,1,16,16,"2016-17",46.3414634146341
"148",2016-11-14,"Philadelphia 76ers",88,"Houston Rockets",115,13183,1,27,27,"2016-17",72.3404255319149
"149",2016-11-14,"Boston Celtics",105,"New Orleans Pelicans",106,15001,1,1,1,"2016-17",51.219512195122
"150",2016-11-14,"Miami Heat",90,"San Antonio Spurs",94,18418,1,4,4,"2016-17",73.469387755102
"151",2016-11-14,"Memphis Grizzlies",102,"Utah Jazz",96,18176,0,-6,6,"2016-17",65.2173913043478
"152",2016-11-14,"Brooklyn Nets",95,"Los Angeles Clippers",127,19060,1,32,32,"2016-17",66.6666666666667
"153",2016-11-15,"Toronto Raptors",117,"Cleveland Cavaliers",121,20562,1,4,4,"2016-17",75.5102040816327
"154",2016-11-15,"Atlanta Hawks",93,"Miami Heat",90,19600,0,-3,3,"2016-17",56.0975609756098
"155",2016-11-15,"Charlotte Hornets",115,"Minnesota Timberwolves",108,10349,0,-7,7,"2016-17",48.780487804878
"156",2016-11-15,"Chicago Bulls",113,"Portland Trail Blazers",88,19393,0,-25,25,"2016-17",58.1395348837209
"157",2016-11-15,"Brooklyn Nets",118,"Los Angeles Lakers",125,18426,1,7,7,"2016-17",41.4634146341463
"158",2016-11-16,"Cleveland Cavaliers",93,"Indiana Pacers",103,17022,1,10,10,"2016-17",67.4418604651163
"159",2016-11-16,"New Orleans Pelicans",82,"Orlando Magic",89,16127,1,7,7,"2016-17",39.0243902439024
"160",2016-11-16,"Washington Wizards",102,"Philadelphia 76ers",109,14863,1,7,7,"2016-17",41.4634146341463
"161",2016-11-16,"Milwaukee Bucks",100,"Atlanta Hawks",107,14656,1,7,7,"2016-17",56.8181818181818
"162",2016-11-16,"Dallas Mavericks",83,"Boston Celtics",90,18624,1,7,7,"2016-17",68.6274509803922
"163",2016-11-16,"Detroit Pistons",102,"New York Knicks",105,19812,1,3,3,"2016-17",46.3414634146341
"164",2016-11-16,"Houston Rockets",103,"Oklahoma City Thunder",105,18203,1,2,2,"2016-17",67.4418604651163
"165",2016-11-16,"Golden State Warriors",127,"Toronto Raptors",121,21050,0,-6,6,"2016-17",65.2173913043478
"166",2016-11-16,"Phoenix Suns",104,"Denver Nuggets",120,10247,1,16,16,"2016-17",53.6585365853659
"167",2016-11-16,"Memphis Grizzlies",111,"Los Angeles Clippers",107,19060,0,-4,4,"2016-17",66.6666666666667
"168",2016-11-16,"San Antonio Spurs",110,"Sacramento Kings",105,17608,0,-5,5,"2016-17",41.4634146341463
"169",2016-11-17,"New York Knicks",112,"Washington Wizards",119,16704,1,7,7,"2016-17",76.5957446808511
"170",2016-11-17,"Milwaukee Bucks",73,"Miami Heat",96,19600,1,23,23,"2016-17",56.0975609756098
"171",2016-11-17,"Portland Trail Blazers",109,"Houston Rockets",126,15550,1,17,17,"2016-17",72.3404255319149
"172",2016-11-17,"Philadelphia 76ers",86,"Minnesota Timberwolves",110,16866,1,24,24,"2016-17",48.780487804878
"173",2016-11-17,"Chicago Bulls",85,"Utah Jazz",77,19911,0,-8,8,"2016-17",65.2173913043478
"174",2016-11-18,"Atlanta Hawks",96,"Charlotte Hornets",100,17989,1,4,4,"2016-17",53.6585365853659
"175",2016-11-18,"Phoenix Suns",116,"Indiana Pacers",96,16780,0,-20,20,"2016-17",67.4418604651163
